title,img_address,img_no
Arsenal hold fresh talks with Sheffield United over Aaron Ramsdale with the Blades wanting £30m for the England goalkeeper... but the Gunners will test the waters with £20m plus add-ons bid,https://i.dailymail.co.uk/1s/2021/08/11/14/46556337-0-image-m-26_1628690386119.jpg,./13-8-202122.jpg
Free agent Sergio Romero 'is in talks with LaLiga side Granada' as Argentine goalkeeper looks for new club after leaving Manchester United following six years as back-up to David de Gea,https://i.dailymail.co.uk/1s/2021/08/11/14/46554507-0-image-a-12_1628687951755.jpg,./13-8-202123.jpg
Roma striker Edin Dzeko closes in on joining Inter Milan after 'jetting in for his medical ahead of signing two-year deal'... and the move could open the door for Chelsea's Tammy Abraham to seal his switch to the Italian capital,https://i.dailymail.co.uk/1s/2021/08/11/13/46552931-0-image-m-16_1628684806443.jpg,./13-8-202124.jpg
Leicester agree £15m deal for Southampton star Jannik Vestergaard as Brendan Rodgers looks to bolster his defence following Wesley Fofana's horror leg break,https://i.dailymail.co.uk/1s/2021/08/11/13/46553137-0-image-m-9_1628684906164.jpg,./13-8-202125.jpg
"Lionel Messi's staggering £30m a year deal DOES NOT breach UEFA's FFP rules, claims PSG chief Nasser Al-Khelaifi - as he says enormous commercial potential created by Argentine's arrival will offset his salary",https://i.dailymail.co.uk/1s/2021/08/11/11/46550097-0-image-m-20_1628677774659.jpg,./13-8-202126.jpg
"Tottenham 'make move to sign defensive midfielder Joao Palhinha from Sporting Lisbon', with Nuno Espirito Santo giving club his approval to pursue Portugal international as part of summer rebuild",https://i.dailymail.co.uk/1s/2021/08/11/10/46548897-0-image-m-18_1628675828623.jpg,./13-8-202127.jpg
Manchester United and Arsenal 'go head-to-head in battle to sign Bayern Munich midfielder Corentin Tolisso for BARGAIN price of £8.5m'... despite German giants splashing out £38m on him in 2017,https://i.dailymail.co.uk/1s/2021/08/11/11/46549227-0-image-m-24_1628676011684.jpg,./13-8-202128.jpg
PSG president Nasser Al-Khelaifi insists Kylian Mbappe has 'NO EXCUSE' to leave for Real Madrid after Lionel Messi joined the club on shock free transfer... despite reports Spanish giants are eyeing a deal,https://i.dailymail.co.uk/1s/2021/08/11/10/46548263-0-image-m-9_1628674392102.jpg,./13-8-202129.jpg
Odsonne Edouard is prepared to leave Celtic for free next summer if the striker fails to get his desired move away this month amid Brighton interest,https://i.dailymail.co.uk/1s/2021/08/11/09/46546799-0-image-m-17_1628671119466.jpg,./13-8-202130.jpg
"Real Madrid 'still plotting move for Kylian Mbappe on DEADLINE DAY' with Spanish giants searching for opportune moment after PSG secured shock move for Lionel Messi, taking club's wage budget to the brink",https://i.dailymail.co.uk/1s/2021/08/11/09/46545503-0-image-m-13_1628669341472.jpg,./13-8-202131.jpg
Liverpool 'have moved into pole position ahead of Barcelona to sign Renato Sanches after Lille slap £40million price tag on Portugal midfielder'... with Jurgen Klopp's quiet transfer window set to pick up speed,https://i.dailymail.co.uk/1s/2021/08/11/08/46545459-0-image-m-8_1628668589515.jpg,./13-8-202132.jpg
"Lionel Messi reveals how Neymar, Pochettino and his desire to win the Champions League again pushed him towards PSG as he says he's happy in Paris despite 'hard, quick and emotional' Barca exit",https://i.dailymail.co.uk/1s/2021/08/11/08/46544587-0-image-a-22_1628666614902.jpg,./13-8-202133.jpg
"Day 1, behind the scenes! Access all areas video shows Lionel Messi's frantic first 24 hours at PSG - as he meets new team-mates and boss after medical and unveiling at Parc des Princes",https://i.dailymail.co.uk/1s/2021/08/11/08/46544229-0-image-m-42_1628666291478.jpg,./13-8-202134.jpg
I'm here to stay! David de Gea insists he has 'many years' ahead of him at Manchester United as goalkeeper lays down the gauntlet to rival Dean Henderson for No 1 spot ahead of the new campaign,https://i.dailymail.co.uk/1s/2021/08/11/00/46532157-0-image-m-95_1628636736124.jpg,./13-8-202135.jpg
"'I'll come to the airport and drag you back here!': Roma fans BEG Edin Dzeko not to go to Inter Milan as he turns up for training, with the experienced striker set to join their rivals to replace Chelsea-bound Romelu Lukaku",https://i.dailymail.co.uk/1s/2021/08/10/22/46530527-0-image-m-72_1628632189935.jpg,./13-8-202136.jpg
"MARTIN SAMUEL: Lionel Messi has left a club he never wanted to leave for one he didn't want to join. So, as Barcelona lose one of their adopted sons, can he learn to love Paris?",https://i.dailymail.co.uk/1s/2021/08/10/22/46530319-0-image-m-11_1628631822240.jpg,./13-8-202137.jpg
"PETE JENSON: So, what now for Barcelona? Messi has gone, board members are resigning and they are STILL in financial crisis days before the start of the season... they need money fast but cash in on Ansu Fati and Pedri and it will be OVER for Joan Laporta",https://i.dailymail.co.uk/1s/2021/08/10/09/46498229-0-image-m-13_1628584529129.jpg,./13-8-202138.jpg
It's done! Lionel Messi completes his sensational move to PSG on a two-year deal worth £1MILLION A WEEK... insisting 'everything about the club matches my football ambitions' as he takes No 30 shirt - his first number as a teenager at Barcelona! ,https://i.dailymail.co.uk/1s/2021/08/10/22/46527589-0-image-m-31_1628631305771.jpg,./13-8-202139.jpg
The French capital hails its new king: Lionel Messi's arrival in Paris was like a state occasion fit for royalty as the masses greeted him at his new Parc des Prince home,https://i.dailymail.co.uk/1s/2021/08/10/20/46525219-0-image-m-17_1628623874259.jpg,./13-8-202140.jpg
Lionel Messi 'was seriously tempted by a late offer from Atletico Madrid before he finalised move to PSG - and he personally spoke to Diego Simeone about the possibility of sealing a deal to reunite with best pal and former Barcelona team-mate Luis Suarez',https://i.dailymail.co.uk/1s/2021/08/10/18/46519827-0-image-m-16_1628616706417.jpg,./13-8-202141.jpg
Brentford bring in Yoane Wissa from French side Lorient on a four-year deal just a MONTH after he was a victim of an acid attack - as the Premier League new boys make their third major signing of the summer ,https://i.dailymail.co.uk/1s/2021/08/10/18/46519679-0-image-m-8_1628616340922.jpg,./13-8-202142.jpg
Paul Pogba will leave Manchester United on a FREE for a second time next summer after PSG's move for Lionel Messi on £1m-a-week scuppered any chance of Frenchman leaving in this window,https://i.dailymail.co.uk/1s/2021/08/10/17/46517587-0-image-m-21_1628612854736.jpg,./13-8-202143.jpg
Southampton complete £15m transfer of Adam Armstrong as Saints land Blackburn star as replacement for Danny Ings following marksman's move to Aston Villa ,https://i.dailymail.co.uk/1s/2021/08/10/17/46518195-0-image-m-14_1628613980545.jpg,./13-8-202144.jpg
Thomas Tuchel refuses to shed light on Romelu Lukaku's £98m arrival with Chelsea boss firmly focused on Super Cup final... but Antonio Rudiger excited at the prospect of linking up with the Belgian hitman this season,https://i.dailymail.co.uk/1s/2021/08/11/00/46519575-0-image-m-68_1628636397880.jpg,./13-8-202145.jpg
Manchester City's new £100m man Jack Grealish reveals John Terry helped convince him to LEAVE Aston Villa after telling him 'there is nothing better than Champions League football',https://i.dailymail.co.uk/1s/2021/08/10/16/46516543-0-image-m-8_1628611142497.jpg,./13-8-202146.jpg
Lionel Messi arrives in Paris RECAP: Fans gather in huge numbers at the Parc des Princes and outside the hospital as star completes medical ahead of move to PSG,https://i.dailymail.co.uk/1s/2021/08/10/15/46510901-0-image-m-50_1628605464524.jpg,./13-8-202147.jpg
Neymar announces Messi? Brazilian star appears to confirm his former Barcelona team-mate will sign for PSG as he posts 'back together' with a picture of them as the Argentine star flies into Paris to seal the deal,https://i.dailymail.co.uk/1s/2021/08/10/14/46510065-0-image-m-30_1628603471328.jpg,./13-8-202148.jpg
Manchester United do NOT want to sell Anthony Martial this summer with three years still left to run on his contract - amid Inter Milan interest with Romelu Lukaku heading to Chelsea ,https://i.dailymail.co.uk/1s/2021/08/10/13/46507209-0-image-m-76_1628600351246.jpg,./13-8-202149.jpg
"Thomas Tuchel believes Romelu Lukaku will create space for Kai Havertz, Timo Werner and Christian Pulisic to shine next season as Chelsea close in on £98m deal to bring the Inter Milan target man back to Stamford Bridge",https://i.dailymail.co.uk/1s/2021/08/10/12/46504023-0-image-m-42_1628595077505.jpg,./13-8-202150.jpg
"Manchester United 'end their interest in Kieran Trippier, with the club baulking at £34m fee' with Diogo Dalot starring in pre-season... paving the way for Arsenal to swoop for the ex-Tottenham defender",https://i.dailymail.co.uk/1s/2021/08/10/11/46501573-0-image-m-68_1628590716201.jpg,./13-8-202151.jpg
Brighton complete signing of Japan star Kaoru Mitoma on a four-year deal before loaning him to Belgian outfit Union Saint-Gilloise to 'become accustomed to European football',https://i.dailymail.co.uk/1s/2021/08/10/09/46499085-0-image-m-21_1628585951961.jpg,./13-8-202152.jpg
"Lionel Messi arrives in Paris with his wife and their kids to sign his £1MILLION-per-week, two-year PSG contract as his new club finally confirm his arrival with a video... and he's completed his medical ahead of his unveiling on Wednesday",https://i.dailymail.co.uk/1s/2021/08/10/12/46504205-0-image-m-29_1628595226390.jpg,./13-8-202153.jpg
Leicester City winger Rachid Ghezzal will fly out to Istanbul TODAY to complete £4m move to Besiktas after impressing on loan with the Turkish champions last season,https://i.dailymail.co.uk/1s/2021/08/10/10/46500451-0-image-m-16_1628589045459.jpg,./13-8-202154.jpg
"'He will want to unload at Old Trafford': Rio Ferdinand says Romelu Lukaku will be driven to down his old club Man United at Chelsea... and adds the 'hungry, elite £98m striker' will GUARANTEE 20 goals",https://i.dailymail.co.uk/1s/2021/08/10/09/46498983-0-image-m-22_1628585431661.jpg,./13-8-202155.jpg
"Signing Lionel Messi will give PSG the highest wage bill of any sports team on the planet at £256million, overtaking Real Madrid and comfortably ahead of the New York Yankees, Dallas Cowboys and the Golden State Warriors",https://i.dailymail.co.uk/1s/2021/08/09/15/46456589-0-image-m-89_1628519943642.jpg,./13-8-202156.jpg
"John Stones signs new FIVE-year, £250,000-per-week deal at Manchester City as Pep Guardiola rewards England star for fighting his way back into the starting XI",https://i.dailymail.co.uk/1s/2021/08/10/10/46500729-0-image-m-14_1628589314011.jpg,./13-8-202157.jpg
Hitting the right note?! Villarreal bizarrely turn star striker Gerard Moreno into the masked singer to shock fans and confirm Spaniard's huge contract extension until 2027 before the UEFA Super Cup,https://i.dailymail.co.uk/1s/2021/08/10/09/46497869-0-image-m-11_1628583415520.jpg,./13-8-202158.jpg
Southampton seal season-long loan move for promising Chelsea striker Armando Broja as they complete third raid on the Blues this summer... with Adam Armstrong set to follow from Blackburn in a deal worth up to £15m,https://i.dailymail.co.uk/1s/2021/08/10/09/46499169-0-image-m-21_1628585709614.jpg,./13-8-202159.jpg
"Real Madrid 'see an opportunity to sign Kylian Mbappe this summer, with Lionel Messi's imminent arrival at PSG leaving French giants needing to sell £150m worth of talent' due to FFP rules",https://i.dailymail.co.uk/1s/2021/08/10/08/46496267-0-image-m-56_1628579995484.jpg,./13-8-202160.jpg
Barcelona 'FAIL in one final desperate bid to keep Lionel Messi' from leaving for PSG... as 'informal' offer arrived 'too late to convince him' with an announcement in Paris expected TODAY ,https://i.dailymail.co.uk/1s/2021/08/10/08/46495899-0-image-m-11_1628579813361.jpg,./13-8-202161.jpg
"'We protected you like a son... but you proved you're on your knees for money': Furious Inter Milan fans DEFACE Romelu Lukaku's San Siro mural as he jets to London for £350,000-per-week Chelsea deal ",https://i.dailymail.co.uk/1s/2021/08/10/07/46495251-0-image-m-26_1628576607289.jpg,./13-8-202162.jpg
Roma closing in on £34m deal for Tammy Abraham as Chelsea look to offload out-of-favour striker on loan with option to buy... with Blues preferring permanent sale to offset £98m purchase of Romelu Lukaku,https://i.dailymail.co.uk/1s/2021/08/10/00/46485197-0-image-m-45_1628551186214.jpg,./13-8-202163.jpg
"Norwich complete £8m signing of Werder Bremen striker Josh Sargent, who puts pen to paper on three-year deal as American forward reunites with former team-mate Milot Rashica",https://i.dailymail.co.uk/1s/2021/08/09/23/46483433-0-image-m-43_1628546795596.jpg,./13-8-202164.jpg
MARTIN SAMUEL: Why the delay over Harry Kane? If the striker is going to Manchester City let's get on with it... it's this pattern of uncertainty and chaos that is stunting Spurs' growth,https://i.dailymail.co.uk/1s/2021/08/09/20/46478621-0-image-m-19_1628537561244.jpg,./13-8-202165.jpg
"Relying on injury comebacks and a frontline that struggled last season, AFCON on the horizon and Andy Robertson injured... Liverpool are in danger of getting left behind with just one summer signing and Man City, United and Chelsea all strengthening",https://i.dailymail.co.uk/1s/2021/08/09/11/46460491-0-image-m-21_1628505666971.jpg,./13-8-202166.jpg
Best of ENEMIES to new PSG team-mates? Sergio Ramos has been sent off TWICE for swiping out at Lionel Messi and also caught him with his elbow during their heated El Clasico battles.. but now they could sensationally link up in Paris!,https://i.dailymail.co.uk/1s/2021/08/09/12/46461229-0-image-m-20_1628509226156.jpg,./13-8-202167.jpg
"Bayern Munich CONFIRM they will try to sign Erling Haaland from Borussia Dortmund ahead of Chelsea, Man City, Real Madrid and Co... and Hasan Salihamidzic says they'd have to be 'AMATEURS' not to chase £68m star",https://i.dailymail.co.uk/1s/2021/08/09/16/46468591-0-image-m-17_1628521616558.jpg,./13-8-202168.jpg
Hundreds of PSG fans gather outside the Parc des Princes and Le Bourget Airport trying to catch their first glimpse of Lionel Messi... but he's back at home by the pool in Barcelona rather than flying to France!,https://i.dailymail.co.uk/1s/2021/08/09/16/46469387-0-image-m-134_1628521845240.jpg,./13-8-202169.jpg
"Harry Kane IS available to face Manchester City, the club who want to sign him, says Tottenham boss Nuno Espirito Santo... with striker still in contention despite being in quarantine",https://i.dailymail.co.uk/1s/2021/08/09/15/46468609-0-image-m-51_1628518659024.jpg,./13-8-202170.jpg
"PSG 'open to selling 10 stars' to cut down their £256MILLION wage bill with the expected arrival of £25m-a-year forward Lionel Messi - with 'Abdou Diallo, Thilo Kehrer and Idrissa Gueye among those facing exit door'",https://i.dailymail.co.uk/1s/2021/08/09/13/46463705-0-image-m-17_1628512253998.jpg,./13-8-202171.jpg
Romelu Lukaku arrives at Milan's Linate airport for flight to London as he closes in on £98m return to Chelsea... just hours after he was spotted leaving clinic having completed the first part of his medical - seemingly holding his new shirt in the car! ,https://i.dailymail.co.uk/1s/2021/08/09/14/46465931-0-image-a-24_1628514627921.jpg,./13-8-202172.jpg
Q&A: Just HOW can PSG sign Lionel Messi and comply with FFP? Will the case of Barcelona's fans stand up in court? And is Nasser Al-Khelaifi as new chair of the European Club Association key?,https://i.dailymail.co.uk/1s/2021/08/09/11/46461583-0-image-m-29_1628505981835.jpg,./13-8-202173.jpg
Manchester City 'are CONVINCED they can strike a £150m deal' to sign Harry Kane from Tottenham even if they can't seal move before the new season... after Pep Guardiola's side refuse to enter race for Lionel Messi,https://i.dailymail.co.uk/1s/2021/08/09/11/46460527-0-image-m-39_1628504496262.jpg,./13-8-202174.jpg
Southampton set to complete £15m signing of Blackburn striker Adam Armstrong to replace Danny Ings as clubs agree terms... with Chelsea starlet Armando Broja to follow on loan,https://i.dailymail.co.uk/1s/2021/08/09/10/46458945-0-image-m-11_1628500545149.jpg,./13-8-202175.jpg
Really?! Tottenham 'make shock offer to Lionel Messi' - suggest reports in South America - as six-time Ballon d'Or winner leaves Barcelona but PSG are in pole position even though Barca lawyers look to block Argentine's move to French club,https://i.dailymail.co.uk/1s/2021/08/09/09/46456589-0-image-m-46_1628497824585.jpg,./13-8-202176.jpg
Goodbye Lionel! Spanish press try to come to terms with Messi's bombshell Barcelona exit as PSG look to wrap up deal following his emotional farewell to his beloved LaLiga giants,https://i.dailymail.co.uk/1s/2021/08/09/08/46456431-0-image-m-21_1628495275376.jpg,./13-8-202177.jpg
Toni Kroos says he 'would not be surprised' if Kylian Mbappe joined him at Real Madrid as French star stalls on new PSG contract with Lionel Messi's imminent arrival in Paris set to swell club's wage bill  ,https://i.dailymail.co.uk/1s/2021/08/09/08/46456471-0-image-m-16_1628495503483.jpg,./13-8-202178.jpg
